[SYS] 2026/06/25 - 10:57:18 | initializing token encoders 
[SYS] 2026/06/25 - 10:57:18 | token encoders initialized 
[SYS] 2026/06/25 - 10:57:18 | SQL_DSN not set, using SQLite as database 
[SYS] 2026/06/25 - 10:57:18 | database migration started 
[SYS] 2026/06/25 - 10:57:18 | system is already initialized at: 2026-05-28 17:47:17 +0800 CST 
[SYS] 2026/06/25 - 10:57:18 | REDIS_CONN_STRING not set, Redis is not enabled 
[SYS] 2026/06/25 - 10:57:18 | i18n initialized with languages: zh-CN, zh-TW, en 
[SYS] 2026/06/25 - 10:57:18 | Loaded 0 custom OAuth providers 
[SYS] 2026/06/25 - 10:57:18 | New API v1.0.0-rc.10 started 
[INFO] 2026/06/25 - 10:57:18 | SYSTEM | codex credential auto-refresh task started: tick=10m0s threshold=24h0m0s 
[SYS] 2026/06/25 - 10:57:18 | 正在更新数据看板数据... 
[SYS] 2026/06/25 - 10:57:18 | 保存数据看板数据成功，共保存0条数据 
[SYS] 2026/06/25 - 10:57:18 | upstream model update task started: interval=30m0s 

  [32mNew API v1.0.0-rc.10[0m  ready in 220 ms

  ➜  [1mNetwork:[0m http://172.18.51.148:3000/
  ➜  [1mNetwork:[0m http://172.17.0.1:3000/

[INFO] 2026/06/25 - 10:57:18 | SYSTEM | subscription quota reset task started: tick=1m0s 
[SYS] 2026/06/25 - 10:57:33 | 任务进度轮询开始 
[SYS] 2026/06/25 - 10:57:33 | 任务进度轮询完成 
[SYS] 2026/06/25 - 10:57:48 | 任务进度轮询开始 
[SYS] 2026/06/25 - 10:57:48 | 任务进度轮询完成 
[SYS] 2026/06/25 - 10:58:03 | 任务进度轮询开始 
[SYS] 2026/06/25 - 10:58:03 | 任务进度轮询完成 
[SYS] 2026/06/25 - 10:58:18 | syncing options from database 
[SYS] 2026/06/25 - 10:58:18 | 任务进度轮询开始 
[SYS] 2026/06/25 - 10:58:18 | 任务进度轮询完成 
[SYS] 2026/06/25 - 10:58:33 | 任务进度轮询开始 
[SYS] 2026/06/25 - 10:58:33 | 任务进度轮询完成 
[SYS] 2026/06/25 - 10:58:48 | 任务进度轮询开始 
[SYS] 2026/06/25 - 10:58:48 | 任务进度轮询完成 
[SYS] 2026/06/25 - 10:59:03 | 任务进度轮询开始 
[SYS] 2026/06/25 - 10:59:03 | 任务进度轮询完成 
[SYS] 2026/06/25 - 10:59:18 | syncing options from database 
[SYS] 2026/06/25 - 10:59:18 | 任务进度轮询开始 
[SYS] 2026/06/25 - 10:59:18 | 任务进度轮询完成 
[SYS] 2026/06/25 - 10:59:33 | 任务进度轮询开始 
[SYS] 2026/06/25 - 10:59:33 | 任务进度轮询完成 
[SYS] 2026/06/25 - 10:59:48 | 任务进度轮询开始 
[SYS] 2026/06/25 - 10:59:48 | 任务进度轮询完成 
[SYS] 2026/06/25 - 11:00:03 | 任务进度轮询开始 
[SYS] 2026/06/25 - 11:00:03 | 任务进度轮询完成 
[SYS] 2026/06/25 - 11:00:18 | syncing options from database 
[SYS] 2026/06/25 - 11:00:18 | 任务进度轮询开始 
[SYS] 2026/06/25 - 11:00:18 | 任务进度轮询完成 
[SYS] 2026/06/25 - 11:00:33 | 任务进度轮询开始 
[SYS] 2026/06/25 - 11:00:33 | 任务进度轮询完成 
[SYS] 2026/06/25 - 11:00:48 | 任务进度轮询开始 
[SYS] 2026/06/25 - 11:00:48 | 任务进度轮询完成 
[SYS] 2026/06/25 - 11:01:03 | 任务进度轮询开始 
[SYS] 2026/06/25 - 11:01:03 | 任务进度轮询完成 
[SYS] 2026/06/25 - 11:01:18 | syncing options from database 
[SYS] 2026/06/25 - 11:01:18 | 任务进度轮询开始 
[SYS] 2026/06/25 - 11:01:18 | 任务进度轮询完成 
[SYS] 2026/06/25 - 11:01:33 | 任务进度轮询开始 
[SYS] 2026/06/25 - 11:01:33 | 任务进度轮询完成 
[SYS] 2026/06/25 - 11:01:48 | 任务进度轮询开始 
[SYS] 2026/06/25 - 11:01:48 | 任务进度轮询完成 
[SYS] 2026/06/25 - 11:02:03 | 任务进度轮询开始 
[SYS] 2026/06/25 - 11:02:03 | 任务进度轮询完成 
