[SYS] 2026/05/28 - 20:49:57 | initializing token encoders 
[SYS] 2026/05/28 - 20:49:57 | token encoders initialized 
[SYS] 2026/05/28 - 20:49:57 | SQL_DSN not set, using SQLite as database 
[SYS] 2026/05/28 - 20:49:57 | database migration started 
[SYS] 2026/05/28 - 20:49:58 | system is already initialized at: 2026-05-28 17:47:17 +0800 CST 
[SYS] 2026/05/28 - 20:49:58 | REDIS_CONN_STRING not set, Redis is not enabled 
[SYS] 2026/05/28 - 20:49:58 | i18n initialized with languages: zh-CN, zh-TW, en 
[SYS] 2026/05/28 - 20:49:58 | Loaded 0 custom OAuth providers 
[SYS] 2026/05/28 - 20:49:58 | New API v1.0.0-rc.10 started 
[INFO] 2026/05/28 - 20:49:58 | SYSTEM | codex credential auto-refresh task started: tick=10m0s threshold=24h0m0s 
[SYS] 2026/05/28 - 20:49:58 | 正在更新数据看板数据... 
[SYS] 2026/05/28 - 20:49:58 | 保存数据看板数据成功，共保存0条数据 
[INFO] 2026/05/28 - 20:49:58 | SYSTEM | subscription quota reset task started: tick=1m0s 
[SYS] 2026/05/28 - 20:49:58 | upstream model update task started: interval=30m0s 

  [32mNew API v1.0.0-rc.10[0m  ready in 192 ms

  ➜  [1mNetwork:[0m http://172.18.51.148:3000/
  ➜  [1mNetwork:[0m http://172.17.0.1:3000/

[SYS] 2026/05/28 - 20:50:13 | 任务进度轮询开始 
[SYS] 2026/05/28 - 20:50:13 | 任务进度轮询完成 
[SYS] 2026/05/28 - 20:50:28 | 任务进度轮询开始 
[SYS] 2026/05/28 - 20:50:28 | 任务进度轮询完成 
[SYS] 2026/05/28 - 20:50:43 | 任务进度轮询开始 
[SYS] 2026/05/28 - 20:50:43 | 任务进度轮询完成 
[SYS] 2026/05/28 - 20:50:58 | syncing options from database 
[SYS] 2026/05/28 - 20:50:58 | 任务进度轮询开始 
[SYS] 2026/05/28 - 20:50:58 | 任务进度轮询完成 
[INFO] 2026/05/28 - 20:51:07 | 202605281251079064123008268d9d6vLcONFus | 用户 1 需要预扣费 ＄0.038250 (funding=wallet) 
[SYS] 2026/05/28 - 20:51:13 | 任务进度轮询开始 
[SYS] 2026/05/28 - 20:51:13 | 任务进度轮询完成 
[INFO] 2026/05/28 - 20:51:13 | 202605281251079064123008268d9d6vLcONFus | 预扣费后返还扣费：＄0.036974（实际消耗：＄0.001276，预扣费：＄0.038250） 
[INFO] 2026/05/28 - 20:51:13 | 202605281251079064123008268d9d6vLcONFus | record consume log: userId=1, params={"channel_id":1,"prompt_tokens":7,"completion_tokens":10,"model_name":"glm-5.1","token_name":"分享用Key","quota":638,"content":"","token_id":3,"use_time_seconds":6,"is_stream":false,"group":"default","other":{"admin_info":{"use_channel":["1"]},"billing_source":"wallet","cache_ratio":1,"cache_tokens":0,"completion_ratio":1,"frt":-1000,"group_ratio":1,"is_model_mapped":true,"model_price":-1,"model_ratio":37.5,"request_conversion":["OpenAI Compatible"],"request_path":"/v1/chat/completions","upstream_model_name":"astron-code-latest","user_group_ratio":-1}} 
[GIN] 2026/05/28 - 20:51:13 | relay | 202605281251079064123008268d9d6vLcONFus | 200 |  5.271742914s |       127.0.0.1 |    POST /v1/chat/completions
[INFO] 2026/05/28 - 20:51:13 | 202605281251131731189928268d9d6KYksjh75 | 用户 1 需要预扣费 ＄0.038250 (funding=wallet) 
[INFO] 2026/05/28 - 20:51:14 | 202605281251131731189928268d9d6KYksjh75 | 预扣费后返还扣费：＄0.036974（实际消耗：＄0.001276，预扣费：＄0.038250） 
[INFO] 2026/05/28 - 20:51:14 | 202605281251131731189928268d9d6KYksjh75 | record consume log: userId=1, params={"channel_id":1,"prompt_tokens":7,"completion_tokens":10,"model_name":"glm-5.1","token_name":"分享用Key","quota":638,"content":"","token_id":3,"use_time_seconds":1,"is_stream":false,"group":"default","other":{"admin_info":{"use_channel":["1"]},"billing_source":"wallet","cache_creation_ratio":1.25,"cache_creation_tokens":0,"cache_ratio":1,"cache_tokens":0,"claude":true,"completion_ratio":1,"frt":-1000,"group_ratio":1,"is_model_mapped":true,"model_price":-1,"model_ratio":37.5,"request_conversion":["Claude Messages"],"request_path":"/v1/messages","upstream_model_name":"astron-code-latest","usage_semantic":"anthropic","user_group_ratio":-1}} 
[GIN] 2026/05/28 - 20:51:14 | relay | 202605281251131731189928268d9d6KYksjh75 | 200 |   978.92044ms |       127.0.0.1 |    POST /v1/messages
[SYS] 2026/05/28 - 20:51:28 | 任务进度轮询开始 
[SYS] 2026/05/28 - 20:51:28 | 任务进度轮询完成 
[SYS] 2026/05/28 - 20:51:43 | 任务进度轮询开始 
[SYS] 2026/05/28 - 20:51:43 | 任务进度轮询完成 
[SYS] 2026/05/28 - 20:51:58 | syncing options from database 
[SYS] 2026/05/28 - 20:51:58 | 任务进度轮询开始 
[SYS] 2026/05/28 - 20:51:58 | 任务进度轮询完成 
[SYS] 2026/05/28 - 20:52:13 | 任务进度轮询开始 
[SYS] 2026/05/28 - 20:52:13 | 任务进度轮询完成 
[SYS] 2026/05/28 - 20:52:28 | 任务进度轮询开始 
[SYS] 2026/05/28 - 20:52:28 | 任务进度轮询完成 
[SYS] 2026/05/28 - 20:52:43 | 任务进度轮询开始 
[SYS] 2026/05/28 - 20:52:43 | 任务进度轮询完成 
[SYS] 2026/05/28 - 20:52:58 | syncing options from database 
[SYS] 2026/05/28 - 20:52:58 | 任务进度轮询开始 
[SYS] 2026/05/28 - 20:52:58 | 任务进度轮询完成 
[SYS] 2026/05/28 - 20:53:13 | 任务进度轮询开始 
[SYS] 2026/05/28 - 20:53:13 | 任务进度轮询完成 
[SYS] 2026/05/28 - 20:53:28 | 任务进度轮询开始 
[SYS] 2026/05/28 - 20:53:28 | 任务进度轮询完成 
[SYS] 2026/05/28 - 20:53:43 | 任务进度轮询开始 
[SYS] 2026/05/28 - 20:53:43 | 任务进度轮询完成 
[SYS] 2026/05/28 - 20:53:58 | syncing options from database 
[SYS] 2026/05/28 - 20:53:58 | 任务进度轮询开始 
[SYS] 2026/05/28 - 20:53:58 | 任务进度轮询完成 
[SYS] 2026/05/28 - 20:54:13 | 任务进度轮询开始 
[SYS] 2026/05/28 - 20:54:13 | 任务进度轮询完成 
[SYS] 2026/05/28 - 20:54:28 | 任务进度轮询开始 
[SYS] 2026/05/28 - 20:54:28 | 任务进度轮询完成 
[SYS] 2026/05/28 - 20:54:43 | 任务进度轮询开始 
[SYS] 2026/05/28 - 20:54:43 | 任务进度轮询完成 
[SYS] 2026/05/28 - 20:54:58 | 正在更新数据看板数据... 
[SYS] 2026/05/28 - 20:54:58 | 保存数据看板数据成功，共保存1条数据 
[SYS] 2026/05/28 - 20:54:58 | syncing options from database 
[SYS] 2026/05/28 - 20:54:58 | 任务进度轮询开始 
[SYS] 2026/05/28 - 20:54:58 | 任务进度轮询完成 
[SYS] 2026/05/28 - 20:55:13 | 任务进度轮询开始 
[SYS] 2026/05/28 - 20:55:13 | 任务进度轮询完成 
[SYS] 2026/05/28 - 20:55:28 | 任务进度轮询开始 
[SYS] 2026/05/28 - 20:55:28 | 任务进度轮询完成 
[SYS] 2026/05/28 - 20:55:43 | 任务进度轮询开始 
[SYS] 2026/05/28 - 20:55:43 | 任务进度轮询完成 
[SYS] 2026/05/28 - 20:55:58 | syncing options from database 
[SYS] 2026/05/28 - 20:55:58 | 任务进度轮询开始 
[SYS] 2026/05/28 - 20:55:58 | 任务进度轮询完成 
[SYS] 2026/05/28 - 20:56:13 | 任务进度轮询开始 
[SYS] 2026/05/28 - 20:56:13 | 任务进度轮询完成 
[SYS] 2026/05/28 - 20:56:28 | 任务进度轮询开始 
[SYS] 2026/05/28 - 20:56:28 | 任务进度轮询完成 
[SYS] 2026/05/28 - 20:56:43 | 任务进度轮询开始 
[SYS] 2026/05/28 - 20:56:43 | 任务进度轮询完成 
[SYS] 2026/05/28 - 20:56:58 | syncing options from database 
[SYS] 2026/05/28 - 20:56:58 | 任务进度轮询开始 
[SYS] 2026/05/28 - 20:56:58 | 任务进度轮询完成 
[SYS] 2026/05/28 - 20:57:13 | 任务进度轮询开始 
[SYS] 2026/05/28 - 20:57:13 | 任务进度轮询完成 
[SYS] 2026/05/28 - 20:57:28 | 任务进度轮询开始 
[SYS] 2026/05/28 - 20:57:28 | 任务进度轮询完成 
[SYS] 2026/05/28 - 20:57:43 | 任务进度轮询开始 
[SYS] 2026/05/28 - 20:57:43 | 任务进度轮询完成 
[SYS] 2026/05/28 - 20:57:58 | syncing options from database 
[SYS] 2026/05/28 - 20:57:58 | 任务进度轮询开始 
[SYS] 2026/05/28 - 20:57:58 | 任务进度轮询完成 
[SYS] 2026/05/28 - 20:58:13 | 任务进度轮询开始 
[SYS] 2026/05/28 - 20:58:13 | 任务进度轮询完成 
[SYS] 2026/05/28 - 20:58:28 | 任务进度轮询开始 
[SYS] 2026/05/28 - 20:58:28 | 任务进度轮询完成 
[SYS] 2026/05/28 - 20:58:43 | 任务进度轮询开始 
[SYS] 2026/05/28 - 20:58:43 | 任务进度轮询完成 
[SYS] 2026/05/28 - 20:58:58 | syncing options from database 
[SYS] 2026/05/28 - 20:58:58 | 任务进度轮询开始 
[SYS] 2026/05/28 - 20:58:58 | 任务进度轮询完成 
[SYS] 2026/05/28 - 20:59:13 | 任务进度轮询开始 
[SYS] 2026/05/28 - 20:59:13 | 任务进度轮询完成 
[SYS] 2026/05/28 - 20:59:28 | 任务进度轮询开始 
[SYS] 2026/05/28 - 20:59:28 | 任务进度轮询完成 
[SYS] 2026/05/28 - 20:59:43 | 任务进度轮询开始 
[SYS] 2026/05/28 - 20:59:43 | 任务进度轮询完成 
[SYS] 2026/05/28 - 20:59:58 | 正在更新数据看板数据... 
[SYS] 2026/05/28 - 20:59:58 | 保存数据看板数据成功，共保存0条数据 
[SYS] 2026/05/28 - 20:59:58 | syncing options from database 
[SYS] 2026/05/28 - 20:59:58 | 任务进度轮询开始 
[SYS] 2026/05/28 - 20:59:58 | 任务进度轮询完成 
[SYS] 2026/05/28 - 21:00:13 | 任务进度轮询开始 
[SYS] 2026/05/28 - 21:00:13 | 任务进度轮询完成 
[SYS] 2026/05/28 - 21:00:28 | 任务进度轮询开始 
[SYS] 2026/05/28 - 21:00:28 | 任务进度轮询完成 
[SYS] 2026/05/28 - 21:00:43 | 任务进度轮询开始 
[SYS] 2026/05/28 - 21:00:43 | 任务进度轮询完成 
[SYS] 2026/05/28 - 21:00:58 | syncing options from database 
[SYS] 2026/05/28 - 21:00:58 | 任务进度轮询开始 
[SYS] 2026/05/28 - 21:00:58 | 任务进度轮询完成 
[SYS] 2026/05/28 - 21:01:13 | 任务进度轮询开始 
[SYS] 2026/05/28 - 21:01:13 | 任务进度轮询完成 
[SYS] 2026/05/28 - 21:01:28 | 任务进度轮询开始 
[SYS] 2026/05/28 - 21:01:28 | 任务进度轮询完成 
[SYS] 2026/05/28 - 21:01:43 | 任务进度轮询开始 
[SYS] 2026/05/28 - 21:01:43 | 任务进度轮询完成 
[SYS] 2026/05/28 - 21:01:58 | syncing options from database 
[SYS] 2026/05/28 - 21:01:58 | 任务进度轮询开始 
[SYS] 2026/05/28 - 21:01:58 | 任务进度轮询完成 
[SYS] 2026/05/28 - 21:02:13 | 任务进度轮询开始 
[SYS] 2026/05/28 - 21:02:13 | 任务进度轮询完成 
[SYS] 2026/05/28 - 21:02:28 | 任务进度轮询开始 
[SYS] 2026/05/28 - 21:02:28 | 任务进度轮询完成 
[SYS] 2026/05/28 - 21:02:43 | 任务进度轮询开始 
[SYS] 2026/05/28 - 21:02:43 | 任务进度轮询完成 
[SYS] 2026/05/28 - 21:02:58 | syncing options from database 
[SYS] 2026/05/28 - 21:02:58 | 任务进度轮询开始 
[SYS] 2026/05/28 - 21:02:58 | 任务进度轮询完成 
[SYS] 2026/05/28 - 21:03:13 | 任务进度轮询开始 
[SYS] 2026/05/28 - 21:03:13 | 任务进度轮询完成 
[SYS] 2026/05/28 - 21:03:28 | 任务进度轮询开始 
[SYS] 2026/05/28 - 21:03:28 | 任务进度轮询完成 
[SYS] 2026/05/28 - 21:03:43 | 任务进度轮询开始 
[SYS] 2026/05/28 - 21:03:43 | 任务进度轮询完成 
[SYS] 2026/05/28 - 21:03:58 | syncing options from database 
[SYS] 2026/05/28 - 21:03:58 | 任务进度轮询开始 
[SYS] 2026/05/28 - 21:03:58 | 任务进度轮询完成 
[SYS] 2026/05/28 - 21:04:13 | 任务进度轮询开始 
[SYS] 2026/05/28 - 21:04:13 | 任务进度轮询完成 
[SYS] 2026/05/28 - 21:04:28 | 任务进度轮询开始 
[SYS] 2026/05/28 - 21:04:28 | 任务进度轮询完成 
[SYS] 2026/05/28 - 21:04:43 | 任务进度轮询开始 
[SYS] 2026/05/28 - 21:04:43 | 任务进度轮询完成 
[SYS] 2026/05/28 - 21:04:58 | 正在更新数据看板数据... 
[SYS] 2026/05/28 - 21:04:58 | 保存数据看板数据成功，共保存0条数据 
[SYS] 2026/05/28 - 21:04:58 | syncing options from database 
[SYS] 2026/05/28 - 21:04:58 | 任务进度轮询开始 
[SYS] 2026/05/28 - 21:04:58 | 任务进度轮询完成 
[SYS] 2026/05/28 - 21:05:13 | 任务进度轮询开始 
[SYS] 2026/05/28 - 21:05:13 | 任务进度轮询完成 
[SYS] 2026/05/28 - 21:05:28 | 任务进度轮询开始 
[SYS] 2026/05/28 - 21:05:28 | 任务进度轮询完成 
[SYS] 2026/05/28 - 21:05:43 | 任务进度轮询开始 
[SYS] 2026/05/28 - 21:05:43 | 任务进度轮询完成 
[SYS] 2026/05/28 - 21:05:58 | syncing options from database 
[SYS] 2026/05/28 - 21:05:58 | 任务进度轮询开始 
[SYS] 2026/05/28 - 21:05:58 | 任务进度轮询完成 
